file,out_text,chars,status
C:\Users\jujum\MQP\2012_complete\X1H6Q72003.html,C:\Users\jujum\MQP\2012_complete\X1H6Q72003.txt,22935,ok
C:\Users\jujum\MQP\2012_complete\X1GPR4O003.html,C:\Users\jujum\MQP\2012_complete\X1GPR4O003.txt,21577,ok
C:\Users\jujum\MQP\2012_complete\X1HSHJM003.html,C:\Users\jujum\MQP\2012_complete\X1HSHJM003.txt,37842,ok
C:\Users\jujum\MQP\2012_complete\X1HO67M003.html,C:\Users\jujum\MQP\2012_complete\X1HO67M003.txt,4698,ok
C:\Users\jujum\MQP\2012_complete\X1HPHOM003.html,C:\Users\jujum\MQP\2012_complete\X1HPHOM003.txt,25673,ok
C:\Users\jujum\MQP\2012_complete\X1J2FM0003.html,C:\Users\jujum\MQP\2012_complete\X1J2FM0003.txt,21420,ok
C:\Users\jujum\MQP\2012_complete\X1HAQ78003.html,C:\Users\jujum\MQP\2012_complete\X1HAQ78003.txt,63074,ok
C:\Users\jujum\MQP\2012_complete\X1H60T8003.html,C:\Users\jujum\MQP\2012_complete\X1H60T8003.txt,38478,ok
C:\Users\jujum\MQP\2012_complete\X1I6S3E003.html,C:\Users\jujum\MQP\2012_complete\X1I6S3E003.txt,12357,ok
C:\Users\jujum\MQP\2012_complete\X1H4KCA003.html,C:\Users\jujum\MQP\2012_complete\X1H4KCA003.txt,38555,ok
C:\Users\jujum\MQP\2012_complete\X1GT74A003.html,C:\Users\jujum\MQP\2012_complete\X1GT74A003.txt,19153,ok
C:\Users\jujum\MQP\2012_complete\X1H56LI003.html,C:\Users\jujum\MQP\2012_complete\X1H56LI003.txt,15506,ok
C:\Users\jujum\MQP\2012_complete\X1GTI7E003.html,C:\Users\jujum\MQP\2012_complete\X1GTI7E003.txt,44813,ok
C:\Users\jujum\MQP\2012_complete\X1HOSI2003.html,C:\Users\jujum\MQP\2012_complete\X1HOSI2003.txt,32237,ok
C:\Users\jujum\MQP\2012_complete\X1Q6MF30LO82.html,C:\Users\jujum\MQP\2012_complete\X1Q6MF30LO82.txt,28226,ok
C:\Users\jujum\MQP\2012_complete\X1HNUGI003.html,C:\Users\jujum\MQP\2012_complete\X1HNUGI003.txt,50979,ok
C:\Users\jujum\MQP\2012_complete\X1IT8VQ003.html,C:\Users\jujum\MQP\2012_complete\X1IT8VQ003.txt,41487,ok
C:\Users\jujum\MQP\2012_complete\X1GRK3I003.html,C:\Users\jujum\MQP\2012_complete\X1GRK3I003.txt,31490,ok
C:\Users\jujum\MQP\2012_complete\X1J2FLQ003.html,C:\Users\jujum\MQP\2012_complete\X1J2FLQ003.txt,19835,ok
C:\Users\jujum\MQP\2012_complete\X1HKTTU003.html,C:\Users\jujum\MQP\2012_complete\X1HKTTU003.txt,27821,ok
